Exported,variables,from,results,directory:,./../outputs/n2/results/read_tb/2BL/SN2GND/alln/300626_newtb/raw_ff/nch_lvtll_mac_nch_lvtll_mac.raw/

date,:,2:47:03,"AM,",Sat,Jul,"18,",2026
design,:,//new,bitcell,tb,with,periphery,+,pb,applied.,updated,in,100726
simulator,:,spectre
version,:,24.1.0.371.isr8


Swept,Measurements,:
Measurement,Name,:,read_tb-meas_foreach
Analysis,Type,:,tran
writetr0_vth1,writetr1_vth1,readtr0_vth1,readtr1_vth1,storagetr0_vth1,storagetr1_vth1,vb,vneg,vholddelta,taccess,twrite,vss_dc,pb3_on,vdd,drt,res,writetr0_plotox,writetr1_plotox,readtr0_plotox,readtr1_plotox,storagetr0_plotox,storagetr1_plotox,writetr0_parl2,writetr1_parl2,readtr0_parl2,readtr1_parl2,storagetr0_parl2,storagetr1_parl2,temp,bl0_current_sampled,bl0_sampled,bl1_current_sampled,bl1_sampled,bl_current_margin,bl_voltage_margin,rwl_activation_instant,senseamp_activation_instant,sn0_duringread,sn0_margin_read,sn1_duringread,sn1_margin_read,storagetr0_vth,storagetr0_vth_rwl,storagetr1_vth,storagetr1_vth_rwl,writetr0_vth,writetr1_vth
-4.58983,1.17122,-0.627813,1.04869,-3.77278,2.17588,0.935,-0.03,0,2.5e-10,2.5e-10,0,1,0.935,4e-06,2600,0.168699,-0.215921,-0.010052,0.0744938,0.0476378,-5.28995,0.208251,-0.0567042,0.0756086,-0.229485,0.474848,-0.83811,125,4.15685e-05,0.492395,4.09908e-05,0.576489,1.01409,-0.0840944,4.00002e-06,4.00027e-06,0.45741,-0.163106,0.535366,0.160163,0.294304,0.282136,0.375203,0.36497,0.348531,0.37956
-4.59667,1.49752,-0.613011,1.20489,-3.76813,2.407,0.935,-0.03,0,2.5e-10,2.5e-10,0,1,0.935,3e-06,2600,0.162214,-0.197109,-0.00907492,0.0947637,0.0242754,-5.04901,0.20895,-0.0735366,0.0794055,-0.293894,0.468039,-0.938035,125,3.98083e-05,0.506013,4.66734e-05,0.535393,0.852911,-0.0293803,3.00002e-06,3.00028e-06,0.450606,-0.156231,0.562285,0.184136,0.294375,0.281952,0.378148,0.368776,0.348531,0.385618
-4.60894,2.04536,-0.599982,1.53633,-3.75676,2.8027,0.935,-0.03,0,2.5e-10,2.5e-10,0,1,0.935,2e-06,2600,0.155407,-0.174453,-0.0077825,0.13466,0.00924171,-4.48674,0.209641,-0.100915,0.0763657,-0.412256,0.458681,-1.11421,125,3.70949e-05,0.527321,5.47837e-05,0.47947,0.677115,0.0478514,2.00002e-06,2.00028e-06,0.439993,-0.145461,0.601925,0.218801,0.294532,0.281703,0.383124,0.374991,0.348531,0.395329
-4.61853,2.94128,-0.57455,2.12577,-3.75153,3.37936,0.935,-0.03,0,2.5e-10,2.5e-10,0,1,0.935,1e-06,2600,0.14791,-0.133575,-0.00588277,0.210029,0.00728343,-3.01422,0.209539,-0.144999,0.0711535,-0.632723,0.440647,-1.35684,125,3.21475e-05,0.567306,6.53758e-05,0.412487,0.491734,0.15482,1.00002e-06,1.00027e-06,0.419712,-0.12511,0.658217,0.268125,0.294602,0.281007,0.390091,0.383582,0.348531,0.41022
-4.58986,0.922237,-0.628066,1.03901,-3.77276,1.98512,0.935,-0.03,0,2.5e-10,3e-10,0,1,0.935,4e-06,2600,0.168708,-0.209234,-0.0100525,0.0755327,0.0480774,-5.41708,0.208044,-0.0455801,0.0756126,-0.230939,0.474436,-0.824348,125,4.15683e-05,0.492394,4.13894e-05,0.573589,1.00432,-0.0811956,4.00002e-06,4.00027e-06,0.457413,-0.163109,0.534116,0.161375,0.294304,0.282136,0.372741,0.362542,0.348531,0.375276
-4.59652,1.20246,-0.612824,1.22087,-3.76838,2.19996,0.935,-0.03,0,2.5e-10,3e-10,0,1,0.935,3e-06,2600,0.161998,-0.192445,-0.00907551,0.0981395,0.0235963,-5.21545,0.20919,-0.0603149,0.0791838,-0.304641,0.467842,-0.937947,125,3.98079e-05,0.506006,4.72982e-05,0.530994,0.841637,-0.0249883,3.00002e-06,3.00028e-06,0.4506,-0.156228,0.561671,0.186183,0.294372,0.281949,0.375488,0.366193,0.348531,0.380567
-4.60906,1.67905,-0.599722,1.60416,-3.75666,2.56811,0.935,-0.03,0,2.5e-10,3e-10,0,1,0.935,2e-06,2600,0.155403,-0.172643,-0.00778229,0.144808,0.00924146,-4.74056,0.209635,-0.0848304,0.0763637,-0.441383,0.458668,-1.13428,125,3.71008e-05,0.527273,5.6017e-05,0.471419,0.662313,0.0558548,2.00002e-06,2.00028e-06,0.440018,-0.145485,0.603387,0.223249,0.294533,0.281705,0.380138,0.372189,0.348531,0.389071
-4.61853,2.54069,-0.57483,2.34656,-3.75152,3.17086,0.935,-0.03,0,2.5e-10,3e-10,0,1,0.935,1e-06,2600,0.147909,-0.135594,-0.00588276,0.238997,0.00784368,-3.3645,0.209538,-0.12779,0.0711534,-0.71748,0.440367,-1.43447,125,3.21472e-05,0.567308,6.8538e-05,0.391349,0.469042,0.175959,1.00002e-06,1.00027e-06,0.419712,-0.12511,0.669886,0.282395,0.294602,0.281006,0.387491,0.381495,0.348531,0.403162
-4.58975,0.691177,-0.627802,1.03021,-3.77293,1.81141,0.935,-0.03,0,2.5e-10,4e-10,0,1,0.935,4e-06,2600,0.168477,-0.203464,-0.0098333,0.0764871,0.0476369,-5.51524,0.208248,-0.0322277,0.0753887,-0.232469,0.474621,-0.812138,125,4.15686e-05,0.492392,4.17553e-05,0.570905,0.995529,-0.0785125,4.00002e-06,4.00027e-06,0.457411,-0.163109,0.532992,0.162502,0.294302,0.282134,0.370491,0.360322,0.348531,0.3713
-4.59679,0.911599,-0.612513,1.23236,-3.76809,1.99399,0.935,-0.03,0,2.5e-10,4e-10,0,1,0.935,3e-06,2600,0.162202,-0.189574,-0.00907426,0.10186,0.0235931,-5.35333,0.209162,-0.0434707,0.0793998,-0.313812,0.467778,-0.932434,125,3.98073e-05,0.506009,4.78365e-05,0.527159,0.832152,-0.0211499,3.00002e-06,3.00028e-06,0.450602,-0.156226,0.560722,0.187893,0.294376,0.281953,0.372829,0.363597,0.348531,0.375584
