Exported,variables,from,results,directory:,./../outputs/n2/results/read_tb/2BL/SN2GND/alln/300626_newtb/raw_ff/nch_lvtll_mac_nch_lvtll_mac.raw/

date,:,12:35:43,"AM,",Fri,Jul,"17,",2026
design,:,//new,bitcell,tb,with,periphery,+,pb,applied.,updated,in,100726
simulator,:,spectre
version,:,24.1.0.371.isr8


Swept,Measurements,:
Measurement,Name,:,read_tb-meas_foreach
Analysis,Type,:,tran
writetr0_vth1,writetr1_vth1,readtr0_vth1,readtr1_vth1,storagetr0_vth1,storagetr1_vth1,vb,vneg,vholddelta,taccess,twrite,vss_dc,pb3_on,vdd,drt,res,writetr0_plotox,writetr1_plotox,readtr0_plotox,readtr1_plotox,storagetr0_plotox,storagetr1_plotox,writetr0_parl2,writetr1_parl2,readtr0_parl2,readtr1_parl2,storagetr0_parl2,storagetr1_parl2,temp,bl0_current_sampled,bl0_sampled,bl1_current_sampled,bl1_sampled,bl_current_margin,bl_voltage_margin,rwl_activation_instant,senseamp_activation_instant,sn0_duringread,sn0_margin_read,sn1_duringread,sn1_margin_read,storagetr0_vth,storagetr0_vth_rwl,storagetr1_vth,storagetr1_vth_rwl,writetr0_vth,writetr1_vth
-4.62496,2.05966,-0.514955,1.28386,-3.7589,2.87507,0.825,-0.14,0,3e-10,3e-10,0,1,0.825,4e-06,2600,0.176241,-0.398281,-0.00137689,0.0756472,0.0417655,-4.56103,0.210204,-0.0990334,0.0559933,-0.265839,0.367628,-0.892017,125,1.75853e-05,0.557904,3.21064e-05,0.487348,0.547718,0.0705552,4.00002e-06,4.00032e-06,0.352816,-0.0583265,0.515772,0.131659,0.29449,0.282228,0.384113,0.376236,0.350197,0.395604
-4.62707,2.48697,-0.490618,1.47318,-3.76106,3.14015,0.825,-0.14,0,3e-10,3e-10,0,1,0.825,3e-06,2600,0.169002,-0.353315,-0.00256063,0.0971683,0.0409702,-4.07108,0.210484,-0.112013,0.052237,-0.328483,0.355928,-0.977621,125,1.61429e-05,0.572182,3.60621e-05,0.453544,0.447641,0.118638,3.00002e-06,3.00032e-06,0.344389,-0.0499275,0.538356,0.150959,0.294462,0.281907,0.387397,0.380156,0.350197,0.402985
-4.62143,3.03727,-0.453891,1.74382,-3.77433,3.45457,0.825,-0.14,0,3e-10,3e-10,0,1,0.825,2e-06,2600,0.160197,-0.282815,-0.00242722,0.122511,0.0449036,-3.2171,0.209348,-0.141093,0.0461172,-0.412885,0.342238,-1.0793,125,1.41739e-05,0.591751,4.05336e-05,0.417309,0.349683,0.174442,2.00002e-06,2.00032e-06,0.332035,-0.0377508,0.564345,0.173172,0.294285,0.281305,0.391174,0.384637,0.350197,0.412248
-4.58863,3.64274,-0.401992,2.07922,-3.82273,3.69211,0.825,-0.14,0,3e-10,3e-10,0,1,0.825,1e-06,2600,0.150641,-0.181744,-0.0025389,0.160803,0.0457001,-1.7535,0.20819,-0.16903,0.048239,-0.54112,0.314823,-1.14918,125,1.10819e-05,0.622601,4.46095e-05,0.386016,0.24842,0.236585,1.00002e-06,1.00033e-06,0.31006,-0.0164151,0.588421,0.194746,0.293645,0.279912,0.393675,0.387765,0.350197,0.422258
-4.62602,1.58239,-0.514461,1.33705,-3.75772,2.57509,0.825,-0.14,0,3e-10,4e-10,0,1,0.825,4e-06,2600,0.17577,-0.406191,-0.00275358,0.0822727,0.0408448,-4.89843,0.209731,-0.0773462,0.0555306,-0.288447,0.367603,-0.906478,125,1.75849e-05,0.557907,3.32138e-05,0.477772,0.529446,0.0801348,4.00002e-06,4.00032e-06,0.352831,-0.0583254,0.51644,0.136139,0.294506,0.282245,0.380301,0.372595,0.350197,0.387458
-4.62731,1.96332,-0.490023,1.59567,-3.76094,2.84303,0.825,-0.14,0,3e-10,4e-10,0,1,0.825,3e-06,2600,0.168461,-0.365921,-0.00307224,0.110036,0.0409632,-4.49357,0.209425,-0.0938628,0.0517161,-0.369386,0.355868,-1.01632,125,1.61424e-05,0.572187,3.79312e-05,0.438088,0.425571,0.134098,3.00002e-06,3.00032e-06,0.344388,-0.0499251,0.542496,0.158837,0.294463,0.281909,0.38366,0.376724,0.350197,0.394041
-4.62262,2.5035,-0.454316,1.99656,-3.77282,3.19242,0.825,-0.14,0,3e-10,4e-10,0,1,0.825,2e-06,2600,0.160133,-0.30416,-0.00303282,0.148318,0.0467054,-3.71799,0.209264,-0.124673,0.0460988,-0.492961,0.342102,-1.16541,125,1.41732e-05,0.591757,4.39502e-05,0.391169,0.322482,0.200588,2.00002e-06,2.00032e-06,0.332052,-0.0377482,0.576439,0.188508,0.294304,0.281324,0.387931,0.381959,0.350197,0.403002
-4.59009,3.19237,-0.391095,2.52849,-3.82141,3.51971,0.825,-0.14,0,3e-10,4e-10,0,1,0.825,1e-06,2600,0.151201,-0.206257,-0.00337879,0.205796,0.0549053,-2.17997,0.206951,-0.156534,0.0397008,-0.681383,0.323519,-1.3043,125,1.10807e-05,0.622612,5.02985e-05,0.342257,0.220299,0.280355,1.00002e-06,1.00032e-06,0.310065,-0.0164069,0.614668,0.223086,0.293658,0.27993,0.391582,0.386603,0.350197,0.414085
-4.62601,1.34175,-0.513492,1.35771,-3.7578,2.43465,0.825,-0.14,0,3e-10,5e-10,0,1,0.825,4e-06,2600,0.176212,-0.401453,-0.00275331,0.0882698,0.0403818,-5.03412,0.210628,-0.0595946,0.055525,-0.298721,0.367566,-0.908131,125,1.75845e-05,0.557911,3.36577e-05,0.473952,0.522452,0.0839584,4.00002e-06,4.00032e-06,0.352829,-0.0583239,0.516395,0.137888,0.294505,0.282244,0.378507,0.370866,0.350197,0.383344
-4.62812,1.68717,-0.489945,1.64819,-3.75983,2.69203,0.825,-0.14,0,3e-10,5e-10,0,1,0.825,3e-06,2600,0.168435,-0.366892,-0.00204784,0.116941,0.0409568,-4.67081,0.209903,-0.0782584,0.0522199,-0.389507,0.356836,-1.03313,125,1.61421e-05,0.572189,3.86768e-05,0.432038,0.417359,0.140151,3.00002e-06,3.00032e-06,0.344401,-0.0499232,0.543663,0.161919,0.294478,0.281924,0.381744,0.374929,0.350197,0.389319
-4.62201,2.19548,-0.45359,2.12009,-3.77365,3.05411,0.825,-0.14,0,3e-10,5e-10,0,1,0.825,2e-06,2600,0.160091,-0.311465,-0.00242562,0.159921,0.0454803,-3.93596,0.209816,-0.100141,0.0460867,-0.534212,0.342012,-1.20321,125,1.41729e-05,0.591762,4.53992e-05,0.380534,0.312183,0.211228,2.00002e-06,2.00032e-06,0.332039,-0.0377455,0.581299,0.195098,0.294293,0.281314,0.3862,0.380468,0.350197,0.397671
