Exported,variables,from,results,directory:,./../outputs/n2/results/read_tb/2BL/SN2GND/alln/300626_newtb/raw_ff/nch_lvtll_mac_nch_lvtll_mac.raw/

date,:,10:51:06,"AM,",Thur,Jul,"16,",2026
design,:,//new,bitcell,tb,with,periphery,+,pb,applied.,updated,in,100726
simulator,:,spectre
version,:,24.1.0.371.isr8


Swept,Measurements,:
Measurement,Name,:,read_tb-meas_foreach
Analysis,Type,:,tran
writetr0_vth1,writetr1_vth1,readtr0_vth1,readtr1_vth1,storagetr0_vth1,storagetr1_vth1,vb,vneg,vholddelta,taccess,twrite,vss_dc,pb3_on,vdd,drt,res,writetr0_plotox,writetr1_plotox,readtr0_plotox,readtr1_plotox,storagetr0_plotox,storagetr1_plotox,writetr0_parl2,writetr1_parl2,readtr0_parl2,readtr1_parl2,storagetr0_parl2,storagetr1_parl2,temp,bl0_current_sampled,bl0_sampled,bl1_current_sampled,bl1_sampled,bl_current_margin,bl_voltage_margin,rwl_activation_instant,senseamp_activation_instant,sn0_duringread,sn0_margin_read,sn1_duringread,sn1_margin_read,storagetr0_vth,storagetr0_vth_rwl,storagetr1_vth,storagetr1_vth_rwl,writetr0_vth,writetr1_vth
-4.57413,3.23047,-0.379732,0.943053,-3.83973,3.55659,0.735,-0.2,0,2.5e-10,2.5e-10,0,1,0.935,5e-06,2600,0.134288,-0.59674,-0.00192757,0.04624,0.0456193,-3.32222,0.207536,-0.149428,0.0443342,-0.167681,0.352746,-0.761257,125,1.55471e-05,0.706024,2.85607e-05,0.669156,0.544353,0.0368679,5.00003e-06,5.00028e-06,0.336961,-0.0435411,0.502195,0.109628,0.29342,0.276837,0.392567,0.38051,0.348534,0.414136
-4.57849,2.77969,-0.386362,0.966806,-3.83405,3.34077,0.735,-0.2,0,2.5e-10,3e-10,0,1,0.935,5e-06,2600,0.134359,-0.617736,-0.00257146,0.0507152,0.0591437,-3.88899,0.200574,-0.135571,0.0372862,-0.178122,0.353576,-0.786952,125,1.55418e-05,0.706076,3.13759e-05,0.648002,0.49534,0.0580742,5.00002e-06,5.00028e-06,0.337007,-0.043517,0.51177,0.121804,0.29349,0.276902,0.389966,0.378368,0.348534,0.406684
-4.57703,2.22278,-0.376871,0.984257,-3.83613,3.0382,0.735,-0.2,0,2.5e-10,4e-10,0,1,0.935,5e-06,2600,0.141246,-0.633292,-0.00128406,0.0618762,0.0526464,-4.44582,0.199029,-0.103211,0.0423739,-0.194898,0.358894,-0.800633,125,1.55403e-05,0.706076,3.35867e-05,0.631455,0.462692,0.0746203,5.00002e-06,5.00028e-06,0.336964,-0.043499,0.516962,0.130746,0.293465,0.276881,0.386216,0.374958,0.348534,0.397302
-4.57464,3.23958,-0.380145,0.840218,-3.83909,3.56844,0.735,-0.2,0,3e-10,2.5e-10,0,1,0.935,5e-06,2600,0.131196,-0.596058,-0.00483918,0.0386229,0.0505426,-3.32767,0.205934,-0.155847,0.0467788,-0.163526,0.353798,-0.764327,125,1.55413e-05,0.670911,2.85499e-05,0.619184,0.544355,0.0517276,5.00002e-06,5.00033e-06,0.336933,-0.0435068,0.502248,0.109522,0.293427,0.276841,0.392726,0.380626,0.348534,0.414288
-4.57642,2.75953,-0.38101,0.844891,-3.83643,3.34785,0.735,-0.2,0,3e-10,3e-10,0,1,0.935,5e-06,2600,0.131661,-0.607784,-0.00376173,0.0473254,0.0537391,-3.92945,0.208508,-0.133808,0.0446034,-0.172245,0.356827,-0.776666,125,1.55412e-05,0.670914,3.1382e-05,0.594217,0.495228,0.0766969,5.00002e-06,5.00033e-06,0.336967,-0.0435065,0.511773,0.121696,0.293461,0.276875,0.390077,0.378434,0.348534,0.406328
-4.57864,2.22992,-0.37654,0.878794,-3.83469,3.05646,0.735,-0.2,0,3e-10,4e-10,0,1,0.935,5e-06,2600,0.131601,-0.641914,-0.00322288,0.0520526,0.0515661,-4.44948,0.206264,-0.104308,0.0440461,-0.185641,0.353443,-0.809458,125,1.55397e-05,0.670931,3.35898e-05,0.574912,0.46263,0.0960195,5.00002e-06,5.00033e-06,0.336989,-0.0435047,0.517173,0.130714,0.293484,0.276901,0.386459,0.375159,0.348534,0.39743
-4.57024,3.24486,-0.375469,0.692156,-3.84409,3.58029,0.735,-0.2,0,4e-10,2.5e-10,0,1,0.935,5e-06,2600,0.139785,-0.597928,-0.00893974,0.0378367,0.050794,-3.34072,0.211709,-0.155894,0.0390098,-0.158623,0.355558,-0.777471,125,1.55405e-05,0.606412,2.85616e-05,0.528444,0.544106,0.0779679,5.00002e-06,5.00043e-06,0.336859,-0.043498,0.502392,0.109503,0.293361,0.276776,0.392888,0.380731,0.348534,0.414376
-4.57547,2.78734,-0.369468,0.713738,-3.83978,3.36586,0.735,-0.2,0,4e-10,3e-10,0,1,0.935,5e-06,2600,0.13413,-0.618242,-0.0036581,0.0445012,0.0508069,-3.91114,0.199976,-0.138278,0.0438972,-0.17132,0.349551,-0.814009,125,1.55396e-05,0.606409,3.13899e-05,0.49789,0.495051,0.10852,5.00002e-06,5.00043e-06,0.336927,-0.0435097,0.512057,0.12175,0.293418,0.276837,0.390307,0.378611,0.348534,0.406811
-4.57988,2.22527,-0.369496,0.735673,-3.83398,3.07201,0.735,-0.2,0,4e-10,4e-10,0,1,0.935,5e-06,2600,0.134954,-0.640466,-0.00365838,0.0487936,0.0524368,-4.46164,0.206089,-0.104133,0.0439006,-0.186447,0.351204,-0.839806,125,1.55387e-05,0.606433,3.35982e-05,0.475076,0.462486,0.131358,5.00002e-06,5.00043e-06,0.337002,-0.0435081,0.517385,0.130715,0.293493,0.276914,0.38667,0.375315,0.348534,0.397348
-4.60429,2.9975,-0.576524,0.963018,-3.76715,3.37892,0.735,-0.1,0,2.5e-10,2.5e-10,0,1,0.935,5e-06,2600,0.183985,-0.362976,-0.00555756,0.0496756,0.0368554,-3.72468,0.208847,-0.152224,0.0710783,-0.175832,0.439047,-0.7803,125,3.04236e-05,0.581525,3.07561e-05,0.65263,0.98919,-0.071105,5.00002e-06,5.00028e-06,0.412116,-0.117733,0.509583,0.119186,0.294383,0.2805,0.390397,0.378694,0.348532,0.410215
-4.60428,2.56678,-0.576522,0.971207,-3.76714,3.13897,0.735,-0.1,0,2.5e-10,3e-10,0,1,0.935,5e-06,2600,0.184277,-0.3697,-0.00555755,0.0534176,0.0368553,-4.21825,0.208554,-0.12373,0.0707856,-0.184104,0.439339,-0.79555,125,3.04268e-05,0.581518,3.28745e-05,0.636763,0.925545,-0.0552446,5.00002e-06,5.00028e-06,0.412131,-0.117748,0.515379,0.127933,0.294383,0.280501,0.387446,0.376071,0.348532,0.403001
-4.60465,2.06571,-0.576166,0.971187,-3.76672,2.82968,0.735,-0.1,0,2.5e-10,4e-10,0,1,0.935,5e-06,2600,0.184549,-0.370749,-0.00555693,0.0564237,0.0365588,-4.68617,0.208824,-0.0976181,0.0710702,-0.190742,0.43929,-0.797422,125,3.04268e-05,0.581508,3.4522e-05,0.624462,0.881373,-0.0429534,5.00002e-06,5.00028e-06,0.412136,-0.117748,0.517867,0.134298,0.294389,0.280507,0.383569,0.37243,0.348532,0.394499
-4.60462,2.98509,-0.567948,0.804593,-3.76796,3.39358,0.735,-0.1,0,3e-10,2.5e-10,0,1,0.935,5e-06,2600,0.184106,-0.340208,-0.00570678,0.0434981,0.0362256,-3.77072,0.20867,-0.142159,0.0709625,-0.160384,0.439918,-0.73728,125,3.04246e-05,0.527472,3.07764e-05,0.599522,0.988568,-0.0720503,5.00002e-06,5.00033e-06,0.412114,-0.117742,0.509664,0.119053,0.294372,0.280494,0.390611,0.378851,0.348532,0.409979
-4.6045,2.58145,-0.567654,0.877491,-3.76815,3.15568,0.735,-0.1,0,3e-10,3e-10,0,1,0.935,5e-06,2600,0.184339,-0.374245,-0.00595441,0.0512298,0.0364708,-4.21463,0.208653,-0.12468,0.0709567,-0.182699,0.439882,-0.808156,125,3.04266e-05,0.527456,3.2878e-05,0.581096,0.925441,-0.0536391,5.00002e-06,5.00033e-06,0.412121,-0.117751,0.515594,0.127929,0.29437,0.280492,0.387665,0.376253,0.348532,0.40325
