Exported,variables,from,results,directory:,./../outputs/n2/results/read_tb/2BL/SN2GND/alln/300626_newtb/raw_ff/nch_lvtll_mac_nch_lvtll_mac.raw/

date,:,8:35:37,"PM,",Mon,Jul,"6,",2026
design,:,//new,bitcell,tb,with,periphery.,updated,in,300626
simulator,:,spectre
version,:,24.1.0.371.isr8


Swept,Measurements,:
Measurement,Name,:,read_tb-meas_foreach
Analysis,Type,:,tran
writetr0_vth1,writetr1_vth1,readtr0_vth1,readtr1_vth1,storagetr0_vth1,storagetr1_vth1,vb,vneg,vholddelta,taccess,twrite,vss_dc,pb3_on,vdd,drt,res,writetr0_plotox,writetr1_plotox,readtr0_plotox,readtr1_plotox,storagetr0_plotox,storagetr1_plotox,writetr0_parl2,writetr1_parl2,readtr0_parl2,readtr1_parl2,storagetr0_parl2,storagetr1_parl2,temp,bl0_current_sampled,bl0_sampled,bl1_current_sampled,bl1_sampled,bl_current_margin,bl_voltage_margin,rwl_activation_instant,senseamp_activation_instant,sn0_duringread,sn0_margin_read,sn1_duringread,sn1_margin_read,storagetr0_vth,storagetr0_vth_rwl,storagetr1_vth,storagetr1_vth_rwl,writetr0_vth,writetr1_vth
-3.86676,1.60087,-0.301981,0.805805,-3.13514,2.40775,0.935,-0.2,0,2.5e-10,2.5e-10,0,1,0.935,5e-06,2600,0.113176,-0.529112,-0.00214552,0.0485503,0.0429103,-3.90056,0.17325,-0.0831369,0.0348646,-0.165415,0.286426,-0.677985,125,1.28453e-05,0.735818,3.87662e-05,0.571267,0.331354,0.164551,5.00002e-06,5.00028e-06,NaN,NaN,NaN,NaN,0.302728,0.285386,0.377647,0.367004,0.36021,0.386865
-3.86113,2.29181,-0.256677,0.925496,-3.14738,2.80301,0.935,-0.2,0,2.5e-10,2.5e-10,0,1,0.935,3e-06,2600,0.115299,-0.423276,-0.0020589,0.0640524,0.0473548,-3.1967,0.172948,-0.118721,0.0295109,-0.207456,0.271089,-0.758225,125,1.05129e-05,0.753456,4.58263e-05,0.52235,0.229407,0.231105,3.00002e-06,3.00028e-06,NaN,NaN,NaN,NaN,0.302564,0.284673,0.382558,0.372958,0.360134,0.399304
-3.86241,1.23334,-0.301902,0.81526,-3.14043,2.19317,0.935,-0.2,0,2.5e-10,3e-10,0,1,0.935,5e-06,2600,0.113348,-0.539986,-0.00268596,0.05105,0.0429754,-4.14825,0.173513,-0.0675532,0.0349175,-0.171634,0.286861,-0.684114,125,1.28454e-05,0.735833,3.98695e-05,0.563108,0.322187,0.172725,5.00002e-06,5.00028e-06,NaN,NaN,NaN,NaN,0.302658,0.285315,0.374922,0.364434,0.360209,0.380619
-3.86125,1.84131,-0.266246,0.994062,-3.14623,2.60754,0.935,-0.2,0,2.5e-10,3e-10,0,1,0.935,3e-06,2600,0.114596,-0.446664,-0.0020586,0.0711575,0.0446031,-3.59517,0.173609,-0.100521,0.0288204,-0.228047,0.273794,-0.793878,125,1.0514e-05,0.753453,4.82864e-05,0.505132,0.217742,0.24832,3.00002e-06,3.00028e-06,NaN,NaN,NaN,NaN,0.30258,0.284685,0.380151,0.370933,0.360134,0.391724
-3.86334,0.868253,-0.301311,0.788429,-3.13933,1.96296,0.935,-0.2,0,2.5e-10,4e-10,0,1,0.935,5e-06,2600,0.113865,-0.533374,-0.00268548,0.0514378,0.0429678,-4.36048,0.173482,-0.0405526,0.0354484,-0.170321,0.28681,-0.663142,125,1.28453e-05,0.735833,4.06849e-05,0.557134,0.315727,0.178699,5.00002e-06,5.00028e-06,NaN,NaN,NaN,NaN,0.302673,0.28533,0.371975,0.361579,0.360209,0.374371
-3.86265,1.38509,-0.26277,1.02921,-3.14501,2.37968,0.935,-0.2,0,2.5e-10,4e-10,0,1,0.935,3e-06,2600,0.115948,-0.476516,-0.00274434,0.0779673,0.0432233,-3.9245,0.173579,-0.0645631,0.0295016,-0.247529,0.271003,-0.811842,125,1.05135e-05,0.75346,5.01323e-05,0.492449,0.209715,0.261011,3.00002e-06,3.00028e-06,NaN,NaN,NaN,NaN,0.302597,0.284704,0.377287,0.368339,0.360134,0.383999
-3.86238,1.60793,-0.297877,0.722494,-3.14091,2.41489,0.935,-0.2,0,3e-10,2.5e-10,0,1,0.935,5e-06,2600,0.113412,-0.529709,-0.00227734,0.0461167,0.0432696,-3.9078,0.173078,-0.08301,0.0346156,-0.16385,0.28649,-0.688133,125,1.28451e-05,0.705345,3.87693e-05,0.508472,0.331321,0.196873,5.00002e-06,5.00033e-06,NaN,NaN,NaN,NaN,0.302652,0.28531,0.377744,0.367069,0.36021,0.386982
-3.86095,2.28942,-0.252368,0.843925,-3.14793,2.81636,0.935,-0.2,0,3e-10,2.5e-10,0,1,0.935,3e-06,2600,0.115451,-0.422577,-0.00174047,0.0621256,0.0493134,-3.20347,0.172887,-0.11851,0.029588,-0.214057,0.270933,-0.780979,125,1.05124e-05,0.726324,4.5814e-05,0.454575,0.229458,0.271749,3.00002e-06,3.00032e-06,NaN,NaN,NaN,NaN,0.302556,0.284666,0.382737,0.373106,0.360134,0.399261
-3.86276,1.22558,-0.297381,0.728952,-3.14048,2.20366,0.935,-0.2,0,3e-10,3e-10,0,1,0.935,5e-06,2600,0.113396,-0.534204,-0.00227703,0.0482355,0.0441744,-4.16108,0.173055,-0.0664819,0.0346109,-0.169637,0.286451,-0.689207,125,1.28449e-05,0.705345,3.9864e-05,0.499429,0.322218,0.205917,5.00002e-06,5.00033e-06,NaN,NaN,NaN,NaN,0.302657,0.285315,0.375066,0.364544,0.36021,0.380484
-3.86111,1.84018,-0.260462,0.920525,-3.14701,2.6234,0.935,-0.2,0,3e-10,3e-10,0,1,0.935,3e-06,2600,0.116019,-0.44662,-0.00116019,0.0702891,0.0475678,-3.59631,0.172288,-0.100195,0.0295848,-0.2399,0.272064,-0.823823,125,1.05133e-05,0.726319,4.82836e-05,0.43628,0.21774,0.29004,3.00002e-06,3.00032e-06,NaN,NaN,NaN,NaN,0.302569,0.284676,0.380361,0.371116,0.360134,0.391705
