Exported,variables,from,results,directory:,./../outputs/n2/results/read_tb/2BL/SN2GND/alln/300626_newtb/raw_ff/nch_lvtll_mac_nch_lvtll_mac.raw/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
writetr0_vth1,writetr1_vth1,readtr0_vth1,readtr1_vth1,storagetr0_vth1,storagetr1_vth1,vb,vneg,vholddelta,taccess,twrite,vss_dc,pb3_on,vdd,drt,res,writetr0_plotox,writetr1_plotox,readtr0_plotox,readtr1_plotox,storagetr0_plotox,storagetr1_plotox,writetr0_parl2,writetr1_parl2,readtr0_parl2,readtr1_parl2,storagetr0_parl2,storagetr1_parl2,temp,bl0_current_sampled,bl0_sampled,bl1_current_sampled,bl1_sampled,bl_current_margin,bl_voltage_margin,rwl_activation_instant,senseamp_activation_instant,sn0_duringread,sn0_margin_read,sn1_duringread,sn1_margin_read,storagetr0_vth,storagetr0_vth_rwl,storagetr1_vth,storagetr1_vth_rwl,writetr0_vth,writetr1_vth
-4.61254,0.491976,-0.37938,1.05908,-3.7938,2.18219,0.925,-0.2,0,5.00E-10,5.00E-10,0,1,0.825,5.00E-06,2600,0.182863,-0.653643,0.00195054,0.0792486,0.0546151,-5.33121,0.20822,-0.0237746,0.0458377,-0.312557,0.325252,-0.959543,125,1.15E-05,0.520375,3.04E-05,0.328183,0.376478,0.192192,5.00E-06,5.00E-06,0.313205,-0.0191819,0.497489,0.122184,0.294023,0.280404,0.375305,0.367066,0.350197,0.368745
-4.60658,0.617003,-0.381806,1.06182,-3.80049,2.25028,0.925,-0.2,0,5.00E-10,4.00E-10,0,1,0.825,5.00E-06,2600,0.189927,-0.654123,-0.00390595,0.0814144,0.0434537,-5.28757,0.208968,-0.0318171,0.0405242,-0.311933,0.326635,-0.967927,125,1.15E-05,0.520364,3.03E-05,0.330053,0.378367,0.190311,5.00E-06,5.00E-06,0.313112,-0.0191725,0.497813,0.121628,0.29394,0.28032,0.376185,0.367929,0.350197,0.370886
-4.6058,0.906964,-0.370671,1.02116,-3.8039,2.40079,0.925,-0.2,0,5.00E-10,3.00E-10,0,1,0.825,5.00E-06,2600,0.183626,-0.639611,-0.00439531,0.077029,0.046395,-5.19272,0.207556,-0.0389641,0.0410229,-0.303021,0.314509,-0.947727,125,1.15E-05,0.52038,2.99E-05,0.334898,0.383142,0.185482,5.00E-06,5.00E-06,0.313079,-0.019186,0.498165,0.120034,0.293893,0.280278,0.378131,0.369812,0.350197,0.375836
-4.60575,1.1092,-0.380447,1.02319,-3.80204,2.50057,0.825,-0.2,0,5.00E-10,5.00E-10,0,1,0.825,5.00E-06,2600,0.183413,-0.636113,-0.00437855,0.0677086,0.0525426,-5.10517,0.207738,-0.0584096,0.04038,-0.286527,0.324986,-0.955186,125,1.14E-05,0.520428,2.96E-05,0.338225,0.386477,0.182203,5.00E-06,5.00E-06,0.313062,-0.0191463,0.498414,0.119005,0.293915,0.280294,0.379409,0.371057,0.350197,0.379293
-4.60543,1.33918,-0.381475,1.00144,-3.8021,2.61683,0.825,-0.2,0,5.00E-10,4.00E-10,0,1,0.825,5.00E-06,2600,0.183439,-0.636435,-0.00437918,0.0747424,0.058389,-4.99594,0.208254,-0.0699657,0.0457381,-0.280987,0.325519,-0.949735,125,1.14E-05,0.520422,2.93E-05,0.3426,0.391007,0.177822,5.00E-06,5.00E-06,0.313062,-0.01915,0.498493,0.117597,0.293912,0.280289,0.380896,0.372489,0.350197,0.383223
-4.60417,1.81555,-0.382545,0.965085,-3.80355,2.8807,0.825,-0.2,0,5.00E-10,3.00E-10,0,1,0.825,5.00E-06,2600,0.183972,-0.632127,-0.00389359,0.0652401,0.0579172,-4.70326,0.20782,-0.0813551,0.0345556,-0.253682,0.326575,-0.937274,125,1.14E-05,0.520404,2.84E-05,0.353689,0.402857,0.166715,5.00E-06,5.00E-06,0.313044,-0.019151,0.498271,0.11402,0.293893,0.28027,0.384251,0.375709,0.350197,0.391354
-4.615,0.49531,-0.388809,1.10718,-3.79029,2.15449,0.925,-0.2,0,4.00E-10,5.00E-10,0,1,0.825,5.00E-06,2600,0.183537,-0.660495,-0.00362245,0.0737956,0.0603741,-5.3448,0.208291,-0.02468,0.0404506,-0.282231,0.319379,-0.893366,125,1.15E-05,0.567358,3.04E-05,0.409981,0.376687,0.157378,5.00E-06,5.00E-06,0.313262,-0.0191952,0.496915,0.121969,0.294067,0.280444,0.374946,0.366719,0.350197,0.3688
-4.60889,2.13982,-0.380711,0.930557,-3.79836,3.06548,0.725,-0.2,0,5.00E-10,5.00E-10,0,1,0.825,5.00E-06,2600,0.177957,-0.631546,-0.00388977,0.0609279,0.057374,-4.45434,0.208102,-0.097142,0.0403563,-0.242733,0.325282,-0.919791,125,1.14E-05,0.520422,2.76E-05,0.364456,0.414753,0.155966,5.00E-06,5.00E-06,0.313111,-0.0191494,0.497032,0.110452,0.293962,0.28034,0.38658,0.377904,0.350197,0.396875
-4.60722,0.619343,-0.389735,1.09998,-3.79931,2.21475,0.925,-0.2,0,4.00E-10,4.00E-10,0,1,0.825,5.00E-06,2600,0.183369,-0.654263,-0.00363107,0.0725073,0.044178,-5.30952,0.208787,-0.0332224,0.040547,-0.278147,0.325586,-0.89361,125,1.15E-05,0.567347,3.02E-05,0.41158,0.378675,0.155767,5.00E-06,5.00E-06,0.31313,-0.0191755,0.49706,0.121335,0.293955,0.280332,0.375726,0.367478,0.350197,0.370918
-4.60612,0.9153,-0.380011,1.07359,-3.80253,2.37037,0.925,-0.2,0,4.00E-10,3.00E-10,0,1,0.825,5.00E-06,2600,0.183349,-0.64197,-0.00363068,0.0710659,0.0453834,-5.20754,0.208159,-0.0404053,0.0405425,-0.271429,0.315264,-0.883213,125,1.15E-05,0.567358,2.99E-05,0.415404,0.383376,0.151955,5.00E-06,5.00E-06,0.313099,-0.0191872,0.497556,0.119821,0.293912,0.280292,0.377735,0.369432,0.350197,0.375973
-4.60643,1.11658,-0.389548,1.07458,-3.8002,2.47025,0.825,-0.2,0,4.00E-10,5.00E-10,0,1,0.825,5.00E-06,2600,0.183317,-0.639381,-0.00361809,0.067905,0.0572864,-5.12065,0.20804,-0.0548374,0.041005,-0.262519,0.325025,-0.888833,125,1.14E-05,0.567399,2.96E-05,0.418101,0.3867,0.149298,5.00E-06,5.00E-06,0.313088,-0.0191506,0.497806,0.118791,0.293938,0.280312,0.379016,0.370679,0.350197,0.379414
-4.60558,1.34281,-0.390784,1.06364,-3.8011,2.59333,0.825,-0.2,0,4.00E-10,4.00E-10,0,1,0.825,5.00E-06,2600,0.182728,-0.635934,-0.00361837,0.0654301,0.0572909,-5.00758,0.208659,-0.0704808,0.0404052,-0.254833,0.32505,-0.886405,125,1.15E-05,0.567394,2.93E-05,0.421621,0.391207,0.145773,5.00E-06,5.00E-06,0.313077,-0.0191517,0.49801,0.117419,0.293926,0.280299,0.380591,0.372205,0.350197,0.38328
-4.60804,2.46448,-0.380721,0.894336,-3.79894,3.23346,0.725,-0.2,0,5.00E-10,4.00E-10,0,1,0.825,5.00E-06,2600,0.188659,-0.618766,-0.0043761,0.0542858,0.052027,-4.17357,0.208108,-0.117543,0.0403574,-0.226804,0.32529,-0.895256,125,1.14E-05,0.520423,2.66E-05,0.377825,0.430223,0.142597,5.00E-06,5.00E-06,0.313106,-0.0191492,0.494646,0.105971,0.293956,0.280335,0.388675,0.379829,0.350197,0.402378
-4.60672,1.82039,-0.39174,1.02914,-3.7997,2.85218,0.825,-0.2,0,4.00E-10,3.00E-10,0,1,0.825,5.00E-06,2600,0.183496,-0.63141,-0.00362164,0.0605765,0.0513065,-4.71767,0.207641,-0.0868853,0.0404416,-0.233021,0.325344,-0.878359,125,1.15E-05,0.567386,2.84E-05,0.430667,0.403066,0.136719,5.00E-06,5.00E-06,0.313101,-0.019154,0.497727,0.113846,0.293947,0.280321,0.38388,0.37536,0.350197,0.391431
-4.60663,2.14967,-0.389513,0.999457,-3.79987,3.04283,0.725,-0.2,0,4.00E-10,5.00E-10,0,1,0.825,5.00E-06,2600,0.183903,-0.63266,-0.00422073,0.0566946,0.0566784,-4.46234,0.208625,-0.0998598,0.0410014,-0.225275,0.325599,-0.862875,125,1.14E-05,0.567392,2.76E-05,0.43941,0.414894,0.127982,5.00E-06,5.00E-06,0.313091,-0.0191487,0.496609,0.110324,0.293942,0.280316,0.386285,0.377632,0.350197,0.39704
-4.60533,2.4741,-0.390211,0.970819,-3.80139,3.21186,0.725,-0.2,0,4.00E-10,4.00E-10,0,1,0.825,5.00E-06,2600,0.183948,-0.623845,0.00241243,0.0498659,0.0566921,-4.1783,0.208072,-0.119136,0.0410113,-0.208852,0.325678,-0.844173,125,1.14E-05,0.567388,2.66E-05,0.450263,0.430347,0.117125,5.00E-06,5.00E-06,0.313072,-0.0191494,0.494264,0.105873,0.293922,0.280296,0.388391,0.379573,0.350197,0.40254
-4.61172,0.492893,-0.399453,1.20853,-3.7928,2.12633,0.925,-0.2,0,3.00E-10,5.00E-10,0,1,0.825,5.00E-06,2600,0.183316,-0.661515,-0.00400253,0.0735762,0.0544344,-5.34579,0.208132,-0.0272836,0.0408258,-0.252485,0.325005,-0.830807,125,1.15E-05,0.618885,3.04E-05,0.50228,0.376734,0.116605,5.00E-06,5.00E-06,0.313222,-0.0191851,0.496472,0.121898,0.294037,0.280409,0.374574,0.366385,0.350197,0.368756
-4.60718,0.620465,-0.400032,1.20652,-3.7983,2.18247,0.925,-0.2,0,3.00E-10,4.00E-10,0,1,0.825,5.00E-06,2600,0.183582,-0.65465,-0.00320667,0.0703805,0.045695,-5.31071,0.208433,-0.0326208,0.0400834,-0.249571,0.325477,-0.834065,125,1.15E-05,0.61888,3.02E-05,0.503661,0.378706,0.115219,5.00E-06,5.00E-06,0.313146,-0.0191781,0.496569,0.121269,0.293968,0.28034,0.3753,0.367091,0.350197,0.370933
-4.6063,0.914753,-0.390473,1.18334,-3.8013,2.34138,0.925,-0.2,0,3.00E-10,3.00E-10,0,1,0.825,5.00E-06,2600,0.183611,-0.645055,-0.00240538,0.0661481,0.046504,-5.20683,0.206863,-0.0450606,0.0408914,-0.245503,0.315105,-0.828849,125,1.15E-05,0.61889,2.99E-05,0.506948,0.383411,0.111942,5.00E-06,5.00E-06,0.313118,-0.0191903,0.497126,0.119774,0.293928,0.280303,0.377352,0.369089,0.350197,0.375963
