Exported,variables,from,results,directory:,./../outputs/n2/results/read_tb/2BL/SN2GND/alln/300626_newtb/raw_ss/nch_lvtll_mac_nch_lvtll_mac.raw/

date,:,4:56:53,"PM,",Sat,Jul,"11,",2026
design,:,//new,bitcell,tb,with,periphery,+,pb,applied.,updated,in,100726
simulator,:,spectre
version,:,24.1.0.371.isr8


Swept,Measurements,:
Measurement,Name,:,read_tb-meas_foreach
Analysis,Type,:,tran
writetr0_vth1,writetr1_vth1,readtr0_vth1,readtr1_vth1,storagetr0_vth1,storagetr1_vth1,vb,vneg,vholddelta,taccess,twrite,vss_dc,pb3_on,vdd,drt,res,writetr0_plotox,writetr1_plotox,readtr0_plotox,readtr1_plotox,storagetr0_plotox,storagetr1_plotox,writetr0_parl2,writetr1_parl2,readtr0_parl2,readtr1_parl2,storagetr0_parl2,storagetr1_parl2,temp,bl0_current_sampled,bl0_sampled,bl1_current_sampled,bl1_sampled,bl_current_margin,bl_voltage_margin,rwl_activation_instant,senseamp_activation_instant,sn0_duringread,sn0_margin_read,sn1_duringread,sn1_margin_read,storagetr0_vth,storagetr0_vth_rwl,storagetr1_vth,storagetr1_vth_rwl,writetr0_vth,writetr1_vth
0.150803,3.72467,-3.16687,2.11183,-2.86526,3.64809,0.965,-0.2,0,2.5e-10,2.5e-10,0,1,0.765,5e-06,0,3.16687,-0.539781,1.35723,0.0960946,-2.41285,-1.92339,0,-0.0960946,0.150803,-0.193691,0.150803,-0.558299,-40,1.69532e-08,0.731159,2.15311e-05,0.577078,0.000787381,0.154081,5.00002e-06,5.00028e-06,0.0684404,0.283318,0.574698,0.133125,0.351758,0.340482,0.441573,0.437261,0.403836,0.475362
0.649361,4.36077,-2.75978,1.1353,-2.75978,3.80921,0.965,-0.2,0,2.5e-10,2.5e-10,0,1,0.765,5e-06,2600,3.2468,-0.414954,1.94808,0.0155953,-2.4351,-0.919137,-0.16234,-0.12042,0.16234,-0.0917953,0.16234,-0.38021,-40,1.71187e-08,0.731168,9.1534e-06,0.675747,0.0018702,0.0554205,5.00002e-06,5.00028e-06,0.0834308,0.269884,0.506445,0.0629911,0.353315,0.342078,0.443454,0.436867,0.403836,0.48699
1.48799,4.20033,-2.81065,1.37579,-1.65333,3.8245,0.965,-0.2,0,2.5e-10,2.5e-10,0,0,0.765,5e-06,0,3.47198,-0.459851,1.48799,0.0505837,-2.97599,-1.18558,0.165333,-0.108065,0,-0.118516,0,-0.438531,-40,1.67377e-08,0.731177,1.27059e-05,0.647313,0.00131732,0.0838646,5.00002e-06,5.00028e-06,0.0635081,0.304619,0.529839,0.0861179,0.368127,0.357103,0.443721,0.437877,0.403836,0.484142
-0.164708,4.54713,-2.63533,0.786478,-3.29417,3.78302,0.965,-0.2,0,2.5e-10,2.5e-10,0,0,0.765,5e-06,2600,3.12946,-0.366796,1.48238,0.0401864,-2.47063,-0.387647,0.164708,-0.122834,0.164708,-0.0562989,0.164708,-0.298555,-40,1.71934e-08,0.731147,3.2637e-06,0.722201,0.00526807,0.0089459,5.00002e-06,5.00028e-06,0.0861899,0.260108,0.449744,0.00676564,0.346298,0.334983,0.442979,0.43465,0.403836,0.489636
-0.427482,3.63181,-2.70739,2.20564,-3.41986,3.6277,0.965,-0.2,0,2.5e-10,3e-10,0,1,0.765,5e-06,0,3.13487,-0.565793,1.28245,0.104272,-2.27991,-2.01867,0.142494,-0.0909172,0.142494,-0.205719,0.284988,-0.572984,-40,1.70316e-08,0.731157,2.26143e-05,0.568556,0.000753132,0.1626,5.00002e-06,5.00028e-06,0.070291,0.274258,0.579785,0.138458,0.344549,0.333187,0.441327,0.437185,0.403836,0.473681
1.74224,4.18558,-2.43914,1.45963,-2.26492,3.77393,0.965,-0.2,0,2.5e-10,3e-10,0,1,0.765,5e-06,2600,3.13604,-0.465912,1.39379,0.0337034,-3.13604,-1.28942,0,-0.121671,0.522673,-0.150075,0,-0.4356,-40,1.6946e-08,0.731175,1.36745e-05,0.639584,0.00123924,0.0915916,5.00002e-06,5.00028e-06,0.0795574,0.280641,0.534821,0.0917421,0.360198,0.349117,0.443079,0.437421,0.403836,0.483842
1.86008,4.1601,-2.53647,1.43541,-1.86008,3.82225,0.965,-0.2,0,2.5e-10,3e-10,0,0,0.765,5e-06,0,3.21286,-0.466381,1.35278,0.0547186,-3.21286,-1.2562,0.169098,-0.106256,0.169098,-0.122587,-0.338196,-0.445808,-40,1.71831e-08,0.731192,1.3586e-05,0.640315,0.00126477,0.0908772,5.00002e-06,5.00028e-06,0.0618003,0.303762,0.534988,0.0912787,0.365562,0.354548,0.443709,0.43803,0.403836,0.483406
-0.793884,4.45599,-1.90532,0.945147,-3.81064,3.81796,0.965,-0.2,0,2.5e-10,3e-10,0,0,0.765,5e-06,2600,3.33431,-0.349404,0.476331,0.0122697,-2.22288,-0.65577,0,-0.119111,0.952661,-0.0743735,0.158777,-0.319391,-40,1.72937e-08,0.731155,5.98779e-06,0.700928,0.00288816,0.0302276,5.00002e-06,5.00028e-06,0.0880208,0.251647,0.480953,0.0374472,0.339667,0.328271,0.443506,0.43612,0.403836,0.488494
-0.299906,3.51191,-2.99906,2.3499,-3.44892,3.56848,0.965,-0.2,0,2.5e-10,4e-10,0,1,0.765,5e-06,0,3.14902,-0.570466,1.34958,0.115801,-1.79944,-2.15672,-0.149953,-0.088585,0.149953,-0.22333,0,-0.601951,-40,1.70152e-08,0.731158,2.41612e-05,0.556411,0.000704237,0.174747,5.00002e-06,5.00028e-06,0.0689552,0.274957,0.586626,0.146047,0.343912,0.332485,0.440579,0.436675,0.403836,0.471488
-1.50116,3.89276,-0.667182,1.8507,-4.83707,3.7163,0.965,-0.2,0,2.5e-10,4e-10,0,1,0.765,5e-06,2600,2.83552,-0.516133,0.667182,0.0818432,-0.833977,-1.73905,-0.166795,-0.0976914,0.667182,-0.171965,-0.500386,-0.523465,-40,1.76917e-08,0.73115,1.91405e-05,0.596018,0.000924308,0.135132,5.00002e-06,5.00028e-06,0.0889116,0.237274,0.563522,0.121093,0.326186,0.314535,0.442428,0.437713,0.403836,0.47844
