Exported,variables,from,results,directory:,./../outputs/n2/results/read_tb/2BL/SN2GND/alln/300626_newtb/raw_ss/nch_lvtll_mac_nch_lvtll_mac.raw/

date,:,4:00:58,"AM,",Sat,Jul,"18,",2026
design,:,//new,bitcell,tb,with,periphery,+,pb,applied.,updated,in,100726
simulator,:,spectre
version,:,24.1.0.371.isr8


Swept,Measurements,:
Measurement,Name,:,read_tb-meas_foreach
Analysis,Type,:,tran
writetr0_vth1,writetr1_vth1,readtr0_vth1,readtr1_vth1,storagetr0_vth1,storagetr1_vth1,vb,vneg,vholddelta,taccess,twrite,vss_dc,pb3_on,vdd,drt,res,writetr0_plotox,writetr1_plotox,readtr0_plotox,readtr1_plotox,storagetr0_plotox,storagetr1_plotox,writetr0_parl2,writetr1_parl2,readtr0_parl2,readtr1_parl2,storagetr0_parl2,storagetr1_parl2,temp,bl0_current_sampled,bl0_sampled,bl1_current_sampled,bl1_sampled,bl_current_margin,bl_voltage_margin,rwl_activation_instant,senseamp_activation_instant,sn0_duringread,sn0_margin_read,sn1_duringread,sn1_margin_read,storagetr0_vth,storagetr0_vth_rwl,storagetr1_vth,storagetr1_vth_rwl,writetr0_vth,writetr1_vth
-5.12166,3.7165,-0.890724,2.8755,-2.67217,3.4875,0.965,0,0,3e-10,3e-10,0,1,0.675,4e-06,2600,0.668043,-0.159,0,0.0955001,-0.668043,-1.162,-0.668043,-0.10825,0.222681,-0.24275,0.668043,-0.54875,-40,2.17103e-08,0.649425,1.42546e-05,0.525538,0.00152304,0.123887,4.00002e-06,4.00032e-06,0.181914,0.174244,0.543643,0.104379,0.356158,0.346388,0.439264,0.436662,0.405084,0.474505
-2.44696,3.72203,-0.333677,2.96232,-3.11432,3.49906,0.965,0,0,3e-10,3e-10,0,1,0.675,3e-06,2600,2.11329,-0.174978,3.33677,0.0361768,0.778579,-0.84265,-0.333677,-0.0957333,-0.556128,-0.196635,1.89084,-0.581291,-40,1.87664e-08,0.649493,1.46397e-05,0.521886,0.00128188,0.127607,3.00002e-06,3.00032e-06,0.137404,0.212418,0.546594,0.107255,0.349822,0.340099,0.439339,0.43681,0.405084,0.474537
-3.76791,3.80695,-1.07655,3.05972,-1.34568,3.3856,0.965,0,0,3e-10,3e-10,0,1,0.675,2e-06,2600,2.42223,-0.116685,0.80741,0.0315766,1.61482,-0.51978,0.538274,-0.118906,-0.80741,-0.247926,2.9605,-0.567885,-40,1.8796e-08,0.649516,1.50298e-05,0.518282,0.00125059,0.131234,2.00002e-06,2.00032e-06,0.149747,0.222998,0.547836,0.110074,0.372744,0.363161,0.437761,0.435308,0.405084,0.475936
-2.16506,3.80526,1.08253,3.12072,-1.08253,3.37029,0.965,0,0,3e-10,3e-10,0,1,0.675,1e-06,2600,1.08253,-0.0778834,2.38157,0.110212,1.29904,-0.170217,1.29904,-0.120009,-2.59808,-0.24957,3.4641,-0.546163,-40,1.87141e-08,0.649515,1.54247e-05,0.514537,0.00121325,0.134978,1.00002e-06,1.00032e-06,0.120404,0.256597,0.550419,0.112945,0.377001,0.367718,0.437474,0.435086,0.405084,0.475833
-2.26134,3.09601,-1.80907,3.67992,-4.52267,3.25351,0.965,0,0,3e-10,4e-10,0,1,0.675,4e-06,2600,1.13067,-0.14308,0.904534,0.131769,-1.58293,-1.33268,0.904534,-0.0692777,-1.13067,-0.311326,0.678401,-0.609927,-40,2.06816e-08,0.649457,1.87917e-05,0.482941,0.00110057,0.166516,4.00002e-06,4.00032e-06,0.140846,0.190602,0.572998,0.136783,0.331448,0.321552,0.436215,0.43444,0.405084,0.463145
3.73951,3.10741,2.03973,3.82848,4.07947,3.18413,0.965,0,0,3e-10,4e-10,0,1,0.675,3e-06,2600,-0.339956,-0.109969,0,0.144097,0.849889,-1.00664,-0.339956,-0.0723401,0,-0.328156,-0.509933,-0.623641,-40,1.66326e-08,0.649575,1.94298e-05,0.477005,0.000856033,0.17257,3.00002e-06,3.00032e-06,0.0827269,0.362906,0.577551,0.142332,0.445633,0.437103,0.435219,0.433555,0.405084,0.46321
3.7269,3.11861,-0.887357,3.97613,4.43678,3.09887,0.965,0,0,3e-10,4e-10,0,1,0.675,2e-06,2600,0.709885,-0.0769118,-0.532414,0.172094,-0.532414,-0.595256,0.177471,-0.0789746,0.177471,-0.341241,-0.709885,-0.590836,-40,1.74325e-08,0.64955,2.00498e-05,0.471257,0.000869459,0.178293,2.00002e-06,2.00032e-06,0.0829409,0.366915,0.582026,0.148034,0.449856,0.44123,0.433992,0.432433,0.405084,0.463272
-3.17888,3.16662,0,3.98197,-3.9736,3.09911,0.965,0,0,3e-10,4e-10,0,1,0.675,1e-06,2600,0.794719,-0.0443192,-2.38416,0.168765,1.58944,-0.167591,0.794719,-0.0716151,0.794719,-0.350738,0,-0.570279,-40,1.93136e-08,0.649505,2.05087e-05,0.466983,0.000941726,0.182522,1.00002e-06,1.00033e-06,0.131334,0.207074,0.585839,0.151948,0.338408,0.328523,0.433892,0.432377,0.405084,0.463988
1.4824,2.56049,-1.79448,4.1685,0.93625,3.06982,0.965,0,0,3e-10,5e-10,0,1,0.675,4e-06,2600,0.156042,-0.158492,-2.49667,0.249279,-2.2626,-1.43135,-2.41865,0.0283132,2.57469,-0.455472,-2.41865,-0.547182,-40,1.66555e-08,0.649568,2.09079e-05,0.46334,0.000796612,0.186227,4.00002e-06,4.00032e-06,0.10124,0.302406,0.589279,0.155466,0.403646,0.394618,0.433813,0.432415,0.405084,0.453541
-0.546459,2.63057,-5.8289,4.25303,-1.09292,3.0499,0.965,0,0,3e-10,5e-10,0,1,0.675,3e-06,2600,0.182153,-0.117387,0.546459,0.15898,-0.182153,-1.06695,-0.182153,-0.0665499,0,-0.358322,0.364306,-0.616203,-40,1.77255e-08,0.649538,2.15151e-05,0.457729,0.000823864,0.19181,3.00002e-06,3.00032e-06,0.120357,0.254394,0.595043,0.161582,0.374751,0.365118,0.433461,0.43214,0.405084,0.454578
