Exported,variables,from,results,directory:,./../outputs/n2/results/read_tb/2BL/SN2GND/alln/300626_newtb/raw_ss/nch_lvtll_mac_nch_lvtll_mac.raw/

date,:,9:12:07,"AM,",Sun,Jul,"5,",2026
design,:,//new,bitcell,tb,with,periphery.,updated,in,300626
simulator,:,spectre
version,:,24.1.0.371.isr8


Swept,Measurements,:
Measurement,Name,:,read_tb-meas_foreach
Analysis,Type,:,tran
writetr0_vth1,writetr1_vth1,readtr0_vth1,readtr1_vth1,storagetr0_vth1,storagetr1_vth1,vb,vneg,vholddelta,taccess,twrite,vss_dc,pb3_on,vdd,drt,res,writetr0_plotox,writetr1_plotox,readtr0_plotox,readtr1_plotox,storagetr0_plotox,storagetr1_plotox,writetr0_parl2,writetr1_parl2,readtr0_parl2,readtr1_parl2,storagetr0_parl2,storagetr1_parl2,temp,bl0_current_sampled,bl0_sampled,bl1_current_sampled,bl1_sampled,bl_current_margin,bl_voltage_margin,rwl_activation_instant,senseamp_activation_instant,sn0_duringread,sn0_margin_read,sn1_duringread,sn1_margin_read,storagetr0_vth,storagetr0_vth_rwl,storagetr1_vth,storagetr1_vth_rwl,writetr0_vth,writetr1_vth
1.05782,4.53995,-5.02466,0.495684,-2.90901,3.88023,0.765,-0.2,0,2.5e-10,2.5e-10,0,1,0.765,5e-06,2600,0,-0.147559,0.793367,-0.0608861,-0.264456,-0.0752122,0.396684,-0.125354,0.396684,-0.0265033,0.396684,-0.198417,-40,1.73898e-08,0.732546,2.05286e-08,0.745935,0.847097,-0.0133889,5.00002e-06,5.00028e-06,NaN,NaN,NaN,NaN,0.349915,0.338148,0.442304,0.431379,0.40871,0.484927
0,4.55642,3.75326,0.473531,2.50217,3.86401,0.765,-0.2,0,2.5e-10,2.5e-10,0,1,0.765,3e-06,2600,0,-0.127678,1.25109,-0.0561222,2.50217,-0.0378825,-2.50217,-0.15153,0,-0.026658,-1.25109,-0.199234,-40,1.8645e-08,0.731859,1.9767e-08,0.746019,0.943239,-0.0141603,3.00002e-06,3.00028e-06,NaN,NaN,NaN,NaN,0.424088,0.413473,0.442073,0.431111,0.407737,0.485205
4.50611,4.6289,-0.321865,0.557507,3.86238,3.76402,0.765,-0.2,0,2.5e-10,3e-10,0,1,0.765,5e-06,2600,0,-0.171245,0.804663,-0.0245322,0,-0.0803311,0.160933,-0.121699,0,-0.0331907,0,-0.205878,-40,1.76347e-08,0.732596,2.62755e-08,0.745844,0.671145,-0.0132478,5.00002e-06,5.00028e-06,NaN,NaN,NaN,NaN,0.441407,0.430886,0.441138,0.430015,0.408716,0.487067
-0.97913,4.64271,-1.39876,0.550448,-4.19627,3.74952,0.765,-0.2,0,2.5e-10,3e-10,0,1,0.765,3e-06,2600,0.139876,-0.129407,-0.139876,-0.0257876,0,-0.0511064,-0.559503,-0.121436,2.37789,-0.0356338,3.07727,-0.217554,-40,1.89059e-08,0.731833,2.63723e-08,0.745844,0.716887,-0.0140108,3.00002e-06,3.00028e-06,NaN,NaN,NaN,NaN,0.334237,0.322397,0.440942,0.42981,0.407734,0.487291
0.415277,4.64076,5.81388,0.571722,0.207639,3.74438,0.765,-0.2,0,2.5e-10,4e-10,0,1,0.765,5e-06,2600,-1.03819,-0.212572,0.830554,-0.00464275,-0.207639,-0.0842328,0.415277,-0.10612,0,-0.0407899,0,-0.225505,-40,1.69607e-08,0.732644,6.50659e-08,0.745494,0.260669,-0.0128492,5.00002e-06,5.00028e-06,NaN,NaN,NaN,NaN,0.394998,0.384478,0.441674,0.430404,0.408715,0.488206
1.14939,4.66005,-5.17226,0.57766,1.14939,3.72313,0.765,-0.2,0,2.5e-10,4e-10,0,1,0.765,3e-06,2600,0,-0.149584,1.72409,-0.00484614,0.574696,-0.0494306,1.72409,-0.109846,0,-0.0332768,0.574696,-0.224861,-40,1.81689e-08,0.731854,6.64198e-08,0.745473,0.273546,-0.0136191,3.00002e-06,3.00028e-06,NaN,NaN,NaN,NaN,0.403466,0.392337,0.441397,0.430124,0.407735,0.488521
0.666667,4.54575,2,0.464198,-4.66667,3.87699,0.765,-0.2,0,3e-10,2.5e-10,0,1,0.765,5e-06,2600,0,-0.151908,2,-0.0587056,0.666667,-0.0780725,-1.33333,-0.147672,1.33333,-0.019972,-1.33333,-0.186406,-40,1.76822e-08,0.722904,2.07102e-08,0.737969,0.853795,-0.0150655,5.00002e-06,5.00033e-06,NaN,NaN,NaN,NaN,0.329005,0.317287,0.442194,0.431327,0.408713,0.485038
2.9542,4.55503,-1.4771,0.489692,1.4771,3.86412,0.765,-0.2,0,3e-10,2.5e-10,0,1,0.765,3e-06,2600,-2.9542,-0.11812,2.9542,-0.057576,0,-0.0362076,-2.21565,-0.148985,0,-0.0255234,-0.738549,-0.197658,-40,1.84153e-08,0.722313,1.97441e-08,0.738025,0.932699,-0.0157127,3.00002e-06,3.00032e-06,NaN,NaN,NaN,NaN,0.409246,0.398463,0.44202,0.431118,0.407738,0.48519
5.44324,4.62825,-0.231627,0.550223,2.43209,3.76531,0.765,-0.2,0,3e-10,3e-10,0,1,0.765,5e-06,2600,0.115814,-0.178026,0.579069,-0.0259178,-0.115814,-0.0777535,0.115814,-0.122791,-0.115814,-0.0305916,0.115814,-0.211167,-40,1.75932e-08,0.72291,2.62005e-08,0.737827,0.671484,-0.0149172,5.00002e-06,5.00033e-06,NaN,NaN,NaN,NaN,0.422411,0.411788,0.441122,0.430026,0.408715,0.487063
-0.566666,4.64103,1.51111,0.545248,-4.53333,3.75298,0.765,-0.2,0,3e-10,3e-10,0,1,0.765,3e-06,2600,-1.13333,-0.12296,2.45555,-0.0264965,-0.566666,-0.0509229,0.566666,-0.11882,-0.755554,-0.0302226,2.07777,-0.2128,-40,1.88581e-08,0.722313,2.63878e-08,0.737821,0.714654,-0.0155083,3.00002e-06,3.00032e-06,NaN,NaN,NaN,NaN,0.330942,0.319402,0.44096,0.429854,0.407736,0.487271
0.388922,4.64078,5.44491,0.573908,-2.33353,3.74432,0.765,-0.2,0,3e-10,4e-10,0,1,0.765,5e-06,2600,0,-0.212396,0.777844,-0.00468736,0,-0.0905246,0,-0.106344,0,-0.0369129,0.388922,-0.218841,-40,1.60336e-08,0.722967,6.50282e-08,0.737358,0.246565,-0.0143911,5.00002e-06,5.00033e-06,NaN,NaN,NaN,NaN,0.361166,0.35023,0.441661,0.430405,0.408715,0.488214
-0.712069,4.6614,3.56034,0.573508,3.56034,3.7221,0.765,-0.2,0,3e-10,4e-10,0,1,0.765,3e-06,2600,0,-0.150653,2.13621,-0.00456524,0.712069,-0.049647,-2.13621,-0.108995,0,-0.0368073,0.712069,-0.223697,-40,1.87382e-08,0.722326,6.63831e-08,0.737337,0.282274,-0.015011,3.00002e-06,3.00032e-06,NaN,NaN,NaN,NaN,0.438369,0.428169,0.44137,0.430109,0.407732,0.488551
-2.74497,4.54815,-2.74497,0.468123,-1.82998,3.87245,0.765,-0.2,0,4e-10,2.5e-10,0,1,0.765,5e-06,2600,0.914991,-0.163649,3.65997,-0.0534013,0,-0.0555546,0,-0.156759,0,-0.0254087,1.82998,-0.203269,-40,1.76694e-08,0.714283,2.06191e-08,0.731116,0.856943,-0.0168329,5.00002e-06,5.00043e-06,NaN,NaN,NaN,NaN,0.364736,0.353511,0.442056,0.431259,0.408703,0.485095
0,4.55947,-3.53861,0.465321,0.884652,3.86149,0.765,-0.2,0,4e-10,2.5e-10,0,1,0.765,3e-06,2600,1.7693,-0.11823,3.53861,-0.06376,0,-0.0624932,-0.884652,-0.14821,-1.7693,-0.0160456,1.7693,-0.198458,-40,1.83461e-08,0.713959,1.97846e-08,0.73118,0.927296,-0.0172212,3.00002e-06,3.00043e-06,NaN,NaN,NaN,NaN,0.400442,0.389689,0.441913,0.431083,0.40773,0.485277
-1.42302,4.62868,0.948683,0.552471,5.21776,3.76476,0.765,-0.2,0,4e-10,3e-10,0,1,0.765,5e-06,2600,0,-0.174139,2.37171,-0.0218042,-0.474342,-0.0777879,0,-0.124343,0,-0.0300544,0,-0.208613,-40,1.7883e-08,0.714308,2.62279e-08,0.730959,0.681831,-0.0166508,5.00002e-06,5.00043e-06,NaN,NaN,NaN,NaN,0.459625,0.449715,0.441094,0.43002,0.408705,0.487072
-3.40168,4.63779,-0.566947,0.548228,-2.83473,3.75619,0.765,-0.2,0,4e-10,3e-10,0,1,0.765,3e-06,2600,0.566947,-0.131448,1.13389,-0.0230106,2.26779,-0.0517739,1.13389,-0.123394,2.26779,-0.0330777,1.70084,-0.211122,-40,1.88063e-08,0.713947,2.63676e-08,0.730953,0.713235,-0.0170063,3.00002e-06,3.00043e-06,NaN,NaN,NaN,NaN,0.351668,0.34017,0.440979,0.429898,0.407727,0.487221
2.65847,4.64251,4.32002,0.571564,-1.99386,3.74188,0.765,-0.2,0,4e-10,4e-10,0,1,0.765,5e-06,2600,0.332309,-0.213922,1.66155,-0.00849063,0.332309,-0.0909119,0.664619,-0.104787,-1.66155,-0.0368618,0.332309,-0.228626,-40,1.72181e-08,0.714344,6.49817e-08,0.730331,0.264968,-0.0159874,5.00002e-06,5.00043e-06,NaN,NaN,NaN,NaN,0.365112,0.354242,0.441618,0.430372,0.408716,0.488244
