Exported,variables,from,results,directory:,./../outputs/n2/results/read_tb/2BL/SN2GND/alln/300626_newtb/raw_ss/nch_lvtll_mac_nch_lvtll_mac.raw/

date,:,6:03:42,"PM,",Mon,Jul,"6,",2026
design,:,//new,bitcell,tb,with,periphery.,updated,in,300626
simulator,:,spectre
version,:,24.1.0.371.isr8


Swept,Measurements,:
Measurement,Name,:,read_tb-meas_foreach
Analysis,Type,:,tran
writetr0_vth1,writetr1_vth1,readtr0_vth1,readtr1_vth1,storagetr0_vth1,storagetr1_vth1,vb,vneg,vholddelta,taccess,twrite,vss_dc,pb3_on,vdd,drt,res,writetr0_plotox,writetr1_plotox,readtr0_plotox,readtr1_plotox,storagetr0_plotox,storagetr1_plotox,writetr0_parl2,writetr1_parl2,readtr0_parl2,readtr1_parl2,storagetr0_parl2,storagetr1_parl2,temp,bl0_current_sampled,bl0_sampled,bl1_current_sampled,bl1_sampled,bl_current_margin,bl_voltage_margin,rwl_activation_instant,senseamp_activation_instant,sn0_duringread,sn0_margin_read,sn1_duringread,sn1_margin_read,storagetr0_vth,storagetr0_vth_rwl,storagetr1_vth,storagetr1_vth_rwl,writetr0_vth,writetr1_vth
0.881519,3.78329,-4.18722,0.41307,-2.42418,3.23353,0.765,-0.2,0,2.5e-10,2.5e-10,0,1,0.765,5e-06,2600,0,-0.122966,0.661139,-0.0507384,-0.22038,-0.0626768,0.33057,-0.104461,0.33057,-0.0220861,0.33057,-0.165347,-40,1.73284e-08,0.732552,2.48521e-08,0.745871,0.697262,-0.013319,5.00002e-06,5.00028e-06,NaN,NaN,NaN,NaN,0.356672,0.345003,0.434037,0.422804,0.40871,0.472284
0,3.79701,3.12772,0.394609,2.08514,3.22001,0.765,-0.2,0,2.5e-10,2.5e-10,0,1,0.765,3e-06,2600,0,-0.106398,1.04257,-0.0467685,2.08514,-0.0315687,-2.08514,-0.126275,0,-0.022215,-1.04257,-0.166028,-40,1.86008e-08,0.731859,2.57325e-08,0.745894,0.722853,-0.0140354,3.00002e-06,3.00028e-06,NaN,NaN,NaN,NaN,0.418481,0.407775,0.433854,0.422626,0.407737,0.472519
3.75509,3.85741,-0.268221,0.464589,3.21865,3.13668,0.765,-0.2,0,2.5e-10,3e-10,0,1,0.765,5e-06,2600,0,-0.142704,0.670552,-0.0204435,0,-0.0669426,0.13411,-0.101416,0,-0.0276589,0,-0.171565,-40,1.76211e-08,0.732597,4.39744e-08,0.745696,0.400712,-0.0130993,5.00002e-06,5.00028e-06,NaN,NaN,NaN,NaN,0.432898,0.422276,0.433351,0.421931,0.408715,0.474228
-0.815942,3.86892,-1.16563,0.458707,-3.49689,3.1246,0.765,-0.2,0,2.5e-10,3e-10,0,1,0.765,3e-06,2600,0.116563,-0.107839,-0.116563,-0.0214897,0,-0.0425886,-0.466252,-0.101197,1.98157,-0.0296948,2.56439,-0.181295,-40,1.86143e-08,0.731856,4.44518e-08,0.745705,0.418754,-0.0138491,3.00002e-06,3.00028e-06,NaN,NaN,NaN,NaN,0.343586,0.331876,0.433194,0.421766,0.407734,0.47442
0.346064,3.8673,4.8449,0.476435,0.173032,3.12032,0.765,-0.2,0,2.5e-10,4e-10,0,1,0.765,5e-06,2600,-0.865161,-0.177143,0.692129,-0.00386896,-0.173032,-0.070194,0.346064,-0.0884334,0,-0.0339916,0,-0.187921,-40,1.72019e-08,0.732636,2.36801e-07,0.744285,0.0726428,-0.0116489,5.00002e-06,5.00028e-06,NaN,NaN,NaN,NaN,0.394277,0.383611,0.434022,0.422988,0.408714,0.475524
0.957826,3.88337,-4.31022,0.481383,0.957826,3.10261,0.765,-0.2,0,2.5e-10,4e-10,0,1,0.765,3e-06,2600,0,-0.124653,1.43674,-0.00403845,0.478913,-0.0411922,1.43674,-0.0915382,0,-0.0277307,0.478913,-0.187384,-40,1.82452e-08,0.731851,2.42604e-07,0.744229,0.0752059,-0.0123773,3.00002e-06,3.00028e-06,NaN,NaN,NaN,NaN,0.401286,0.390158,0.433789,0.422762,0.407735,0.47579
0.555556,3.78813,1.66667,0.386832,-3.88889,3.23083,0.765,-0.2,0,3e-10,2.5e-10,0,1,0.765,5e-06,2600,0,-0.12659,1.66667,-0.0489214,0.555556,-0.0650604,-1.11111,-0.12306,1.11111,-0.0166434,-1.11111,-0.155338,-40,1.75148e-08,0.722894,2.49643e-08,0.737888,0.701592,-0.0149933,5.00002e-06,5.00033e-06,NaN,NaN,NaN,NaN,0.339202,0.327601,0.433967,0.422761,0.408712,0.472377
2.46183,3.79586,-1.23091,0.408077,1.23091,3.2201,0.765,-0.2,0,3e-10,2.5e-10,0,1,0.765,3e-06,2600,-2.46183,-0.0984331,2.46183,-0.04798,0,-0.030173,-1.84637,-0.124154,0,-0.0212695,-0.615457,-0.164715,-40,1.842e-08,0.72231,2.57585e-08,0.737884,0.715104,-0.0155737,3.00002e-06,3.00032e-06,NaN,NaN,NaN,NaN,0.406076,0.395265,0.433832,0.422633,0.407737,0.472507
4.53604,3.85687,-0.193023,0.458519,2.02674,3.13776,0.765,-0.2,0,3e-10,3e-10,0,1,0.765,5e-06,2600,0.0965114,-0.148355,0.482557,-0.0215982,-0.0965114,-0.0647946,0.0965114,-0.102326,-0.0965114,-0.025493,0.0965114,-0.175972,-40,1.75969e-08,0.722908,4.39197e-08,0.737631,0.40066,-0.0147229,5.00002e-06,5.00033e-06,NaN,NaN,NaN,NaN,0.417049,0.406363,0.433347,0.421941,0.408714,0.474228
-0.472221,3.86752,1.25926,0.454373,-3.77777,3.12748,0.765,-0.2,0,3e-10,3e-10,0,1,0.765,3e-06,2600,-0.944443,-0.102467,2.04629,-0.0220804,-0.472221,-0.0424358,0.472221,-0.0990168,-0.629629,-0.0251855,1.73148,-0.177333,-40,1.87641e-08,0.722312,4.46594e-08,0.73762,0.420159,-0.0153075,3.00002e-06,3.00032e-06,NaN,NaN,NaN,NaN,0.340813,0.329375,0.433217,0.421806,0.407735,0.474405
0.324102,3.86731,4.53743,0.478257,-1.94461,3.12027,0.765,-0.2,0,3e-10,4e-10,0,1,0.765,5e-06,2600,0,-0.176997,0.648204,-0.00390613,0,-0.0754372,0,-0.0886203,0,-0.0307608,0.324102,-0.182367,-40,1.68083e-08,0.722947,2.36777e-07,0.735806,0.0709879,-0.0128586,5.00002e-06,5.00033e-06,NaN,NaN,NaN,NaN,0.366047,0.355076,0.434016,0.422989,0.408713,0.475532
