Exported,variables,from,results,directory:,./../outputs/n2/results/read_tb/2BL/SN2GND/alln/300626_newtb/raw_ss/nch_lvtll_mac_nch_lvtll_mac.raw/

date,:,4:07:11,"AM,",Thur,Jul,"9,",2026
design,:,//new,bitcell,tb,with,periphery.,updated,in,300626
simulator,:,spectre
version,:,24.1.0.371.isr8


Swept,Measurements,:
Measurement,Name,:,read_tb-meas_foreach
Analysis,Type,:,tran
writetr0_vth1,writetr1_vth1,readtr0_vth1,readtr1_vth1,storagetr0_vth1,storagetr1_vth1,vb,vneg,vholddelta,taccess,twrite,vss_dc,pb3_on,vdd,drt,res,writetr0_plotox,writetr1_plotox,readtr0_plotox,readtr1_plotox,storagetr0_plotox,storagetr1_plotox,writetr0_parl2,writetr1_parl2,readtr0_parl2,readtr1_parl2,storagetr0_parl2,storagetr1_parl2,temp,bl0_current_sampled,bl0_sampled,bl1_current_sampled,bl1_sampled,bl_current_margin,bl_voltage_margin,rwl_activation_instant,senseamp_activation_instant,sn0_duringread,sn0_margin_read,sn1_duringread,sn1_margin_read,storagetr0_vth,storagetr0_vth_rwl,storagetr1_vth,storagetr1_vth_rwl,writetr0_vth,writetr1_vth
-1.94461,4.65707,5.44491,0.534579,-1.16677,3.73427,0.965,-0.2,0,1.5e-10,1.5e-10,0,1,0.765,5e-06,2600,-0.777844,-0.15726,0.388922,0.00155703,0,-0.059686,-0.388922,-0.135461,-0.388922,-0.0280265,-0.388922,-0.183729,-40,1.8178e-08,0.745226,1.16939e-07,0.755204,0.15545,-0.00997763,5.00002e-06,5.00018e-06,NaN,NaN,NaN,NaN,0.341163,0.330393,0.409081,0.397729,0.409081,0.487995
-3.56598,4.66951,-1.1261,0.541902,-4.69208,3.71953,0.965,-0.2,0,1.5e-10,1.5e-10,0,1,0.765,3e-06,2600,0,-0.11296,0,0.00152648,0,-0.032565,0,-0.137384,0,-0.0284944,0,-0.183178,-40,2.18052e-08,0.744346,1.18922e-07,0.755197,0.183357,-0.0108506,3.00002e-06,3.00018e-06,NaN,NaN,NaN,NaN,0.290335,0.278687,0.408887,0.397529,0.408044,0.488196
-2.96245,4.60158,-0.846415,0.688134,-5.07849,3.76594,0.965,-0.2,0,1.5e-10,2e-10,0,1,0.765,5e-06,2600,0.423207,-0.246263,0.423207,0.0114689,0.423207,-0.217909,0.423207,-0.116282,0,-0.0423712,0,-0.214723,-40,2.07696e-08,0.745062,2.42342e-06,0.745102,0.00857036,-3.98419e-05,5.00002e-06,5.00018e-06,NaN,NaN,NaN,NaN,0.284952,0.27321,0.410511,0.400982,0.409074,0.489348
-4.40908,4.63969,-0.979796,0.670824,-3.91918,3.73205,0.965,-0.2,0,1.5e-10,2e-10,0,1,0.765,3e-06,2600,0.489898,-0.163668,0,0.0115817,0,-0.0972253,0,-0.116731,0,-0.0417551,0,-0.208166,-40,2.05038e-08,0.744342,2.47489e-06,0.744871,0.00828473,-0.000528907,3.00002e-06,3.00018e-06,NaN,NaN,NaN,NaN,0.301006,0.28948,0.410014,0.40049,0.408042,0.489984
-0.286691,4.4958,-5.73382,0.943864,-1.72015,3.802,0.965,-0.2,0,1.5e-10,2.5e-10,0,1,0.765,5e-06,2600,0,-0.30889,0.286691,0.0238304,0,-0.496818,0,-0.142077,0,-0.0579169,0,-0.274502,-40,1.84529e-08,0.745169,6.63715e-06,0.726,0.00278024,0.0191689,5.00002e-06,5.00018e-06,NaN,NaN,NaN,NaN,0.329426,0.318062,0.411076,0.40304,0.409076,0.488667
2.26023,4.56009,-0.706322,0.914202,1.9777,3.76375,0.965,-0.2,0,1.5e-10,2.5e-10,0,1,0.765,3e-06,2600,0.706322,-0.205839,-3.95541,0.0517473,-0.423793,-0.24235,1.83644,-0.156967,-1.9777,-0.0534722,1.69517,-0.269661,-40,1.81889e-08,0.744437,6.78344e-06,0.725308,0.00268137,0.0191291,3.00002e-06,3.00018e-06,NaN,NaN,NaN,NaN,0.382647,0.371891,0.410486,0.402453,0.408053,0.489747
3.78298,4.39098,-4.03518,1.18062,-2.26979,3.8068,0.965,-0.2,0,1.5e-10,3e-10,0,1,0.765,5e-06,2600,0.252199,-0.338396,0.252199,0.0367276,0,-0.763431,0,-0.120542,0.252199,-0.0743969,-0.252199,-0.339024,-40,1.79714e-08,0.745161,1.06195e-05,0.707575,0.0016923,0.0375857,5.00003e-06,5.00018e-06,NaN,NaN,NaN,NaN,0.322481,0.311081,0.411207,0.404094,0.409082,0.487329
-0.181735,4.50177,3.08949,1.10858,-0.908674,3.76143,0.965,-0.2,0,1.5e-10,3e-10,0,1,0.765,3e-06,2600,1.45388,-0.220356,-1.09041,0.047029,2.36255,-0.40581,0.908674,-0.129552,-2.90776,-0.0538319,2.72602,-0.348724,-40,1.84411e-08,0.744436,1.0844e-05,0.706526,0.00170057,0.0379097,3.00002e-06,3.00018e-06,NaN,NaN,NaN,NaN,0.343388,0.332244,0.410494,0.403368,0.408051,0.489194
-1.56818,4.27407,5.75001,1.42129,-0.261364,3.75334,0.965,-0.2,0,1.5e-10,4e-10,0,1,0.765,5e-06,2600,0,-0.418626,0,0.0578588,-0.522728,-1.13642,-0.261364,-0.101423,0.261364,-0.104146,0,-0.365532,-40,1.77257e-08,0.745217,1.59692e-05,0.682823,0.00110999,0.0623943,5.00002e-06,5.00018e-06,NaN,NaN,NaN,NaN,0.353877,0.343278,0.41056,0.404404,0.40908,0.485509
3.00622,4.40151,4.64597,1.45005,1.63976,3.73106,0.965,-0.2,0,1.5e-10,4e-10,0,1,0.765,3e-06,2600,-0.273293,-0.270956,-0.273293,0.0629756,-0.546585,-0.607149,-0.273293,-0.104636,0.546585,-0.108189,1.36646,-0.366873,-40,1.83755e-08,0.744442,1.64071e-05,0.680791,0.00111997,0.0636508,3.00002e-06,3.00018e-06,NaN,NaN,NaN,NaN,0.379801,0.369326,0.410124,0.404011,0.408058,0.487637
-1.23688,4.6566,-2.16455,0.538917,-0.463831,3.73414,0.965,-0.2,0,2e-10,1.5e-10,0,1,0.765,5e-06,2600,-4.17448,-0.151617,0.15461,0.00187645,0.15461,-0.0600465,2.9376,-0.139983,0.15461,-0.0285221,1.85533,-0.186519,-40,1.85053e-08,0.73868,1.16969e-07,0.751304,0.158206,-0.0126249,5.00002e-06,5.00023e-06,NaN,NaN,NaN,NaN,0.347995,0.336997,0.409072,0.397729,0.409074,0.487986
5.22233,4.67076,-2.08893,0.538055,2.08893,3.71847,0.965,-0.2,0,2e-10,1.5e-10,0,1,0.765,3e-06,2600,0,-0.113139,0,0.00184265,0,-0.0320622,0,-0.137462,0,-0.0283769,0,-0.184265,-40,1.83956e-08,0.737923,1.18732e-07,0.751295,0.154935,-0.0133721,3.00002e-06,3.00023e-06,NaN,NaN,NaN,NaN,0.383364,0.372688,0.408859,0.397512,0.408056,0.488219
-3.15691,4.60365,-0.901975,0.67093,-4.96086,3.76649,0.965,-0.2,0,2e-10,2e-10,0,1,0.765,5e-06,2600,0.450988,-0.246782,0.450988,0.0116078,0,-0.218459,0,-0.116078,0,-0.041788,-0.450988,-0.214048,-40,2.06681e-08,0.738588,2.42277e-06,0.737142,0.0085308,0.00144602,5.00002e-06,5.00023e-06,NaN,NaN,NaN,NaN,0.286535,0.274981,0.410518,0.400983,0.409071,0.489387
-3.85013,4.6414,-1.10004,0.653158,-4.40015,3.73306,0.965,-0.2,0,2e-10,2e-10,0,1,0.765,3e-06,2600,0.550019,-0.1639,0,0.0117706,0,-0.0979404,0,-0.116818,0,-0.0410861,-0.550019,-0.207651,-40,2.09814e-08,0.73783,2.47285e-06,0.736826,0.0084847,0.00100394,3.00002e-06,3.00023e-06,NaN,NaN,NaN,NaN,0.294219,0.282742,0.410028,0.400496,0.408041,0.490016
-1.08643,4.50279,4.88893,0.884375,-3.25929,3.80782,0.965,-0.2,0,2e-10,2.5e-10,0,1,0.765,5e-06,2600,0,-0.309344,0.543214,0.0242536,0,-0.498963,0,-0.142214,0,-0.0562243,0,-0.273184,-40,1.86205e-08,0.738714,6.63258e-06,0.710642,0.00280742,0.0280724,5.00002e-06,5.00023e-06,NaN,NaN,NaN,NaN,0.31198,0.30106,0.411157,0.403098,0.409081,0.488788
-1.29387,4.56359,-0.235249,0.871635,-1.52912,3.76956,0.965,-0.2,0,2e-10,2.5e-10,0,1,0.765,3e-06,2600,-2.23486,-0.190977,1.17624,0.0263561,4.11686,-0.264607,2.47011,-0.157928,-1.17624,-0.0587784,1.05862,-0.262306,-40,1.88711e-08,0.737916,6.76343e-06,0.709805,0.00279017,0.0281119,3.00002e-06,3.00023e-06,NaN,NaN,NaN,NaN,0.332952,0.321536,0.410572,0.40252,0.408043,0.489802
-4.03678,4.4179,3.74844,1.09684,-2.30673,3.80074,0.965,-0.2,0,2e-10,3e-10,0,1,0.765,5e-06,2600,0.288342,-0.337844,0.288342,0.0371811,0,-0.764968,0,-0.120494,0.288342,-0.0720672,-0.288342,-0.336237,-40,1.84777e-08,0.738706,1.05935e-05,0.68538,0.00174425,0.0533258,5.00003e-06,5.00023e-06,NaN,NaN,NaN,NaN,0.324752,0.313835,0.411124,0.403974,0.409074,0.487787
-0.12222,4.50641,-1.2222,1.07611,-0.488881,3.76442,0.965,-0.2,0,2e-10,3e-10,0,1,0.765,3e-06,2600,0.611101,-0.216089,-0.36666,0.0436083,2.4444,-0.408963,0.36666,-0.12692,-3.0555,-0.0490322,4.2777,-0.35928,-40,1.83046e-08,0.737919,1.0823e-05,0.683891,0.00169127,0.0540279,3.00002e-06,3.00023e-06,NaN,NaN,NaN,NaN,0.347404,0.336242,0.410536,0.403394,0.408045,0.489272
5.52679,4.26781,-1.97386,1.39363,0.789542,3.76715,0.965,-0.2,0,2e-10,4e-10,0,1,0.765,5e-06,2600,0,-0.42154,0,0.0579523,-0.789542,-1.14796,-0.394771,-0.102298,0.394771,-0.101542,0,-0.364092,-40,1.75961e-08,0.738718,1.59595e-05,0.651167,0.00110254,0.0875504,5.00002e-06,5.00023e-06,NaN,NaN,NaN,NaN,0.365666,0.354874,0.410754,0.404587,0.409085,0.485403
